,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
85,1000,1000,1,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3593682118851919,1.8445049576145474e-06,2024-02-14 17:25:08,279.76505756378174,340.2967872619629
25,1000,1000,5,0.0,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.342752129578742,1.8379768174209484e-06,2024-02-14 17:57:08,454.504563331604,1085.1342797279358
198,100,100,3,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3380080514764077,1.883466782968972e-06,2024-02-14 17:19:08,33.703782081604004,58.80943417549133
192,100,100,5,0.0,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3449319214766215,1.9634425771995456e-06,2024-02-14 17:14:35,25.166743755340576,84.7449266910553
33,1000,1000,5,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.33387417821236637,1.7713478317175678e-06,2024-02-14 17:51:04,453.893230676651,780.6812953948975
20,100,100,5,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3382043548209145,1.89645703471747e-06,2024-02-14 17:16:07,64.62796401977539,140.43866610527039
19,1000,1000,4,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3319471135946946,1.725824596083008e-06,2024-02-14 17:37:09,297.98654985427856,387.89499497413635
34,100,100,4,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3372513600371873,1.887426613208074e-06,2024-02-14 17:11:10,28.06337022781372,47.4657838344574
131,1000,1000,2,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3329401375380071,1.7613103898744203e-06,2024-02-14 17:29:21,306.7223770618439,436.4365999698639
143,1000,1000,3,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.33162714437632307,1.7410042239090636e-06,2024-02-14 17:33:12,350.89640522003174,478.63780403137207
205,1000,1000,4,0.0,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3440385419695537,1.8519277175577103e-06,2024-02-14 17:36:15,177.91135358810425,428.16397285461426
137,100,100,4,0.0,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3457976791444015,1.97513265107558e-06,2024-02-14 17:11:03,16.555927753448486,50.11084222793579
197,100,100,1,0.0,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3590674091207578,1.957744059683215e-06,2024-02-14 17:09:43,22.437068939208984,30.53680157661438
180,100,100,3,0.0,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.3452319309839127,1.9803185741927976e-06,2024-02-14 17:18:09,16.335333347320557,47.574724435806274
