,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
85,1000,1000,1,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.35963408366446037,0.00023719541195903703,2024-03-01 13:04:08,5701.768768548965,111.18310761451721
25,1000,1000,5,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.34065765428443995,0.0002326423060058239,2024-03-01 14:06:54,7107.410846948624,297.9646158218384
198,100,100,3,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3378246569078152,0.00023960666715576548,2024-03-01 11:23:43,733.3979439735413,14.9802827835083
192,100,100,5,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.34373197074810413,0.0002475417725844188,2024-03-01 11:31:33,886.1251473426819,31.357415914535522
33,1000,1000,5,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3313629694384852,0.00022174962480833846,2024-03-01 15:28:28,12209.714632987976,281.59062004089355
20,100,100,5,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.33734201409778647,0.00024007598571560102,2024-03-01 11:40:31,1431.279708147049,29.729455947875977
19,1000,1000,4,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.33111149049508726,0.00022090820021159382,2024-03-01 13:17:08,5671.707379817963,110.04357147216797
34,100,100,4,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.33790099209138397,0.000241281339554166,2024-03-01 11:25:44,821.6442747116089,20.48708462715149
131,1000,1000,2,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3317336100363215,0.00022235310309063,2024-03-01 13:53:24,8278.002086400986,117.65288305282593
143,1000,1000,3,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.33161609954372895,0.0002220832917159709,2024-03-01 13:38:33,7144.597626209259,146.63172888755798
205,1000,1000,4,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.34078670662357025,0.00022999564006676745,2024-03-01 13:27:09,5740.531444549561,198.83378672599792
137,100,100,4,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.34238226436790775,0.0002504446129280131,2024-03-01 11:22:06,591.5872991085052,23.25206160545349
197,100,100,1,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3590838121558983,0.00025310237802380524,2024-03-01 11:16:50,374.0783553123474,6.679678678512573
180,100,100,3,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3454743914093114,0.00025149434835187583,2024-03-01 11:17:33,375.1257698535919,13.81205677986145
126,100,100,2,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.35466519085780296,0.000258960069168217,2024-03-01 11:12:43,119.38122987747192,8.321914911270142
98,100,100,2,0.0,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.338206108554144,0.0002397962603042323,2024-03-01 11:21:32,629.4531416893005,10.85001277923584
163,1000,1000,3,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.34321054659169986,0.00023484522810115628,2024-03-01 12:36:02,3541.737498998642,127.39610290527344
113,1000,1000,2,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.35452367532655515,0.00024362235099216568,2024-03-01 11:54:37,1446.031593799591,88.86688780784607
217,100,100,1,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.38179233466786633,0.0003201599907656915,2024-03-01 11:10:45,30.20672106742859,3.574387311935425
94,1000,1000,1,0.0,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3826126914650634,0.0003078385969052083,2024-03-01 11:32:52,565.8560993671417,61.593958377838135
155,100,100,4,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28552782263318355,0.00024215412676033323,2024-03-01 11:26:33,855.8443419933319,22.62451720237732
183,100,100,5,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2851414579886686,0.0002417543180921214,2024-03-01 11:39:26,1359.558745622635,30.814368963241577
177,1000,1000,4,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28649168584756135,0.00023891134596844838,2024-03-01 12:40:04,3277.8232221603394,137.43955993652344
175,100,100,1,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.302587830485304,0.00029655249534683294,2024-03-01 11:11:34,57.02860498428345,7.318373203277588
62,1000,1000,3,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2878485714314677,0.000242059501674326,2024-03-01 12:38:33,3558.7412848472595,149.46717619895935
173,1000,1000,3,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28410019891331656,0.0002397288156370881,2024-03-01 13:44:20,7345.156789064407,171.68674683570862
195,100,100,3,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.285229428383366,0.0002435780827061583,2024-03-01 11:23:42,721.3939826488495,17.05158567428589
74,1000,1000,1,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.3022840309921583,0.0002889295667414077,2024-03-01 11:30:07,435.9440064430237,50.21745586395264
108,1000,1000,2,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.286868263665661,0.00023822174466761178,2024-03-01 12:49:21,4686.474795103073,89.59097838401794
199,100,100,1,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.29102054653991577,0.0002502393126570025,2024-03-01 11:17:18,393.1866104602814,8.287065505981445
101,1000,1000,2,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.29038207785646003,0.00024069127133045682,2024-03-01 12:01:57,1748.4353523254395,107.89839339256287
117,100,100,2,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28798322565775336,0.00024694310710446826,2024-03-01 11:21:33,616.9399807453156,12.719927310943604
213,1000,1000,4,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2839983775962768,0.00023297914445910632,2024-03-01 13:52:03,7401.989652633667,166.93598246574402
7,1000,1000,5,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.28618015059258195,0.0002388612136832581,2024-03-01 14:12:14,7186.7016248703,326.68515729904175
95,1000,1000,1,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.29008533478713094,0.00024240089062296493,2024-03-01 13:10:31,5937.450400590897,137.38217949867249
51,100,100,4,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2870472310197567,0.0002452869213542484,2024-03-01 11:22:43,611.196977853775,26.111836910247803
128,100,100,2,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2912604502233894,0.00024901052095281304,2024-03-01 11:13:29,152.38622856140137,10.734461784362793
206,100,100,5,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2874058137316779,0.0002463970737325921,2024-03-01 11:31:55,886.1955738067627,34.77549767494202
22,1000,1000,5,0.1,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2839373463575606,0.00023230431049172046,2024-03-01 15:37:07,12425.419066667557,303.684663772583
15,100,100,3,0.1,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2889087391068997,0.00024819231826179485,2024-03-01 11:17:08,344.2101151943207,14.79584527015686
89,1000,1000,2,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23386619383046908,0.00024217177854002057,2024-03-01 11:45:40,982.1437604427338,67.19241857528687
69,1000,1000,1,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2461178273365511,0.0002914406670450624,2024-03-01 11:35:21,576.5740087032318,78.79889035224915
141,100,100,1,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.24618198821024811,0.0002918402579748077,2024-03-01 11:11:00,34.489211082458496,5.186999797821045
135,100,100,2,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23406761370827434,0.00024489769707331937,2024-03-01 11:23:11,710.9167144298553,13.369337558746338
64,100,100,4,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23390222269740796,0.0002448737009221496,2024-03-01 11:26:42,864.8585681915283,22.220790147781372
136,1000,1000,4,0.2,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23265300657325416,0.00023933665319990312,2024-03-01 13:30:21,5753.6581065654755,215.46818161010742
159,1000,1000,4,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.23247648356910736,0.00024136269956955488,2024-03-01 14:36:12,9930.319590806961,184.3225371837616
79,1000,1000,1,0.2,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.2364182044542025,0.0002560173844851986,2024-03-01 12:34:45,4104.235520362854,83.31154894828796
