,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,steps_per_restart,epochs,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
85,1000,1000,1,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.35984849000732544,0.00013268067745339263,2024-05-21 20:18:06,17032.45312476158,325.63377356529236
25,1000,1000,5,0.0,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.33101523153964013,0.00012281333849275397,2024-05-21 21:05:21,2251.1079874038696,2146.600784301758
198,100,100,3,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3366199839302952,0.00012015904649947731,2024-05-21 15:03:20,2643.373658180237,58.329246044158936
192,100,100,5,0.0,sig,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3365081031861945,0.00011964731451860856,2024-05-21 15:38:58,2910.0117387771606,333.88116002082825
33,1000,1000,5,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3305756312445242,0.00012198531428330314,2024-05-21 19:59:12,6191.961636304855,1090.470901966095
20,100,100,5,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3363725963201008,0.00011874883829532462,2024-05-21 15:57:50,5255.123367071152,143.57784056663513
19,1000,1000,4,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3304338049743367,0.00012181801683822018,2024-05-21 18:00:38,5425.384217977524,495.5942323207855
34,100,100,4,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3363199355418835,0.00011871344332894066,2024-05-21 15:05:36,2738.11705160141,67.63469362258911
131,1000,1000,2,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.33042208232984005,0.0001209391098016211,2024-05-21 19:17:49,12862.931310892105,361.37506651878357
143,1000,1000,3,0.0,log,0.1,0.0,,3,3,31,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.33040783673541907,0.00012181392560050425,2024-05-21 19:14:56,10615.929541110992,618.2108752727509
