,dscrt_train,dscrt,N,H,space,nn_hidden,penalty,initial,constraint,restarts,steps_per_restart,epochs,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
69,1000,1000,4,0.0625,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.30528914950894626,0.00012842597006634124,2024-05-22 11:57:13,1509.6338698863983,660.0826802253723
40,1000,1000,3,0.0625,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3102245565562798,0.00013083139798672963,2024-05-22 11:39:47,2484.5216434001923,458.29166412353516
67,1000,1000,1,0.0625,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3291170588457214,0.00016160440676622227,2024-05-22 13:56:05,12505.158758878708,273.0868625640869
54,1000,1000,5,0.0625,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3017510834258696,0.00012511101190704898,2024-05-22 14:38:25,7138.700412034988,1059.8639016151428
18,1000,1000,2,0.0625,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.30663996023425094,0.00012578268838111837,2024-05-22 16:38:28,20784.659283161163,428.1176929473877
63,1000,1000,1,0.0625,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.314320293986452,0.00012959751078237165,2024-05-22 18:26:21,27289.481903791428,379.38272404670715
17,1000,1000,3,0.0625,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.30176792768595495,0.00011941173066967231,2024-05-22 14:59:23,14019.254290342331,519.8518800735474
15,1000,1000,2,0.0625,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3144999219246855,0.00013162179464771748,2024-05-22 11:52:33,4563.655435800552,326.33705973625183
55,1000,1000,4,0.0625,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3000679420081956,0.00011798960853376855,2024-05-22 13:36:41,8540.321568012238,545.8081002235413
12,1000,1000,5,0.0625,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.3051952052442778,0.0001273235312238104,2024-05-22 12:56:22,1061.3056240081787,1056.7603924274445
35,1000,1000,3,0.125,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2688593633737115,0.00012715703438777028,2024-05-22 15:04:36,14169.138813495636,542.880672454834
38,1000,1000,2,0.125,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2752344745720775,0.00013467541591433174,2024-05-22 11:51:07,4495.96780538559,324.97897505760193
42,1000,1000,3,0.125,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2736906512028212,0.00013545483417029455,2024-05-22 11:39:46,2493.3813898563385,457.88679695129395
16,1000,1000,2,0.125,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2723307618014857,0.00013030074132016424,2024-05-22 16:33:19,20516.142195940018,415.6038615703583
57,1000,1000,1,0.125,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.28633372887100933,0.00015983696441656357,2024-05-22 13:57:43,12566.350100517273,274.20142674446106
60,1000,1000,4,0.125,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2709140721207497,0.00013322290104616398,2024-05-22 11:58:38,1534.2437369823456,670.867758512497
64,1000,1000,4,0.125,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.26727127907258386,0.00012849663527705245,2024-05-22 13:44:30,8741.653344392776,562.3038711547852
65,1000,1000,1,0.125,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2756539403870138,0.00013650795377565826,2024-05-22 19:03:03,29487.74570274353,429.59648537635803
2,1000,1000,5,0.125,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.27015976843464384,0.00013157945913006588,2024-05-22 13:02:31,1080.8112201690674,1075.8012750148773
13,1000,1000,5,0.125,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.26819262592692394,0.00013449389421998532,2024-05-22 14:37:35,7097.066282510757,1060.0305643081665
1,1000,1000,5,0.25,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.20911848571360464,0.00013005264650658174,2024-05-22 14:37:35,7088.841663599014,1080.1053259372711
37,1000,1000,2,0.25,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.20916612327176312,0.00012986334966193924,2024-05-22 16:15:33,19378.962288856506,423.7346303462982
3,1000,1000,4,0.25,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.20872284699575733,0.00013156756273281528,2024-05-22 11:58:55,1533.7944486141205,672.0092694759369
4,1000,1000,5,0.25,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.20918728164232778,0.00013077589572667823,2024-05-22 12:55:00,1064.1352488994598,1041.5616068840027
43,1000,1000,3,0.25,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2090688685540537,0.00012852394768546948,2024-05-22 15:18:56,14869.463349342346,555.1471366882324
53,1000,1000,1,0.25,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2146844468989207,0.0001408780430939458,2024-05-22 19:26:01,30985.301025629044,376.7323100566864
61,1000,1000,4,0.25,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.20832981323291772,0.00012780531032292902,2024-05-22 13:36:15,8520.827445745468,553.9475591182709
31,1000,1000,3,0.25,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.209787640055592,0.00013060966867805638,2024-05-22 11:39:54,2486.920032262802,461.62063479423523
48,1000,1000,1,0.25,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.22296841320811095,0.0001590609742921475,2024-05-22 13:50:00,12129.601979494095,261.623961687088
32,1000,1000,2,0.25,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.2101753697785759,0.00013180554719178987,2024-05-22 11:44:59,4309.226080417633,306.7988142967224
50,1000,1000,1,0.3333333333333333,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.18292411159367566,0.00013719336574550116,2024-05-22 19:06:33,29752.282124757767,418.3010334968567
68,1000,1000,4,0.3333333333333333,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17572740862680314,0.000124747497285746,2024-05-22 11:59:22,1506.819760799408,672.0741047859192
33,1000,1000,2,0.3333333333333333,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17555897704587892,0.0001228526735106144,2024-05-22 15:04:31,16092.895957708359,307.8357472419739
0,1000,1000,4,0.3333333333333333,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17550940619944552,0.00012234401452860207,2024-05-22 13:43:40,8712.202626943588,560.8931710720062
29,1000,1000,3,0.3333333333333333,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17604720797046955,0.00012533013784931223,2024-05-22 11:41:48,2528.2364571094513,468.1508777141571
5,1000,1000,5,0.3333333333333333,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17585615033961782,0.00012172617133274018,2024-05-22 14:19:09,6902.5702357292175,971.0629684925079
8,1000,1000,1,0.3333333333333333,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.19182839741255978,0.00015536888432696476,2024-05-22 13:56:39,12501.23690366745,273.2635247707367
10,1000,1000,5,0.3333333333333333,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17552316577305654,0.00012360234405653782,2024-05-22 13:04:01,1286.6797332763672,1105.1369066238403
30,1000,1000,2,0.3333333333333333,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17719309373066747,0.00012581233050991964,2024-05-22 11:45:02,4340.068422317505,304.3545129299164
34,1000,1000,3,0.3333333333333333,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.17526826082578195,0.0001222270848992044,2024-05-22 15:30:40,14951.20119357109,571.7420711517334
21,1000,1000,1,0.5,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.14600485973894733,0.00014274875256103519,2024-05-22 13:37:54,11513.196475982666,249.05437922477722
9,1000,1000,5,0.5,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12405447993118063,0.00010393111498580039,2024-05-22 13:15:11,1287.6407372951508,1139.4585182666779
14,1000,1000,5,0.5,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12405480371930128,0.00010168610466931429,2024-05-22 15:22:01,9681.121044397354,1106.0698866844177
39,1000,1000,2,0.5,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12715124014672888,0.00010784817719224108,2024-05-22 11:43:19,4258.558818101883,305.21440863609314
7,1000,1000,1,0.5,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.13485914847312502,0.00011874096937394062,2024-05-22 18:08:24,26584.975422143936,367.1466815471649
59,1000,1000,4,0.5,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1238146463247634,0.0001031174421254851,2024-05-22 11:58:26,1518.4246945381165,667.3542177677155
66,1000,1000,4,0.5,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12391731498110106,0.00010204108900415852,2024-05-22 13:40:48,8650.497436761856,571.5600318908691
22,1000,1000,3,0.5,sig,0,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.1240506638503052,0.00010355476092753042,2024-05-22 11:41:39,2533.49670958519,483.19038677215576
27,1000,1000,2,0.5,log,2,0.1,0.0,,3,3,51,512,1024,131072,0.1,Adam,0.0,32,1048576,tX,True,0.12442756146199152,0.00010384313414665261,2024-05-22 16:13:56,19426.793591737747,406.04817175865173
