,dscrt_train,dscrt,N,H,space,nn_hidden,epochs,penalty,initial,constraint,restarts,steps_per_restart,batch_size,n_batches,validation_size,learning_rate,optim,nn_dropout,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
43,1000,1000,3,0.0625,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.30171055819930614,0.00011949910269764221,2025-01-23 12:10:16,13219.807695150375,366.8870265483856
77,1000,1000,3,0.0625,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.30874422794936873,0.0001304128008172641,2025-01-23 09:28:57,2763.286235332489,448.10194516181946
2,1000,1000,5,0.0625,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.299358618442681,0.00011986955939667301,2025-01-23 13:29:03,7257.775256156921,668.9474353790283
21,1000,1000,1,0.0625,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.3269084038347283,0.00013801606719711522,2025-01-23 16:48:31,28584.979425430298,606.2936758995056
6,1000,1000,1,0.0625,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.33489805315134324,0.0001491656382657233,2025-01-23 12:19:33,14973.4834856987,365.16764307022095
7,1000,1000,2,0.0625,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.3039400188275585,0.00012620714112373624,2025-01-23 13:57:03,19229.642536878586,436.72573351860046
49,1000,1000,4,0.0625,sig,0,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.3041580024041369,0.00012640915967575104,2025-01-23 09:09:13,1260.1533253192902,416.49903440475464
10,1000,1000,4,0.0625,log,2,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2997310568502444,0.00012061882078931239,2025-01-23 10:39:25,7400.278290510178,350.68967747688293
64,1000,1000,2,0.0625,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.3172126941233668,0.00013686844963129604,2025-01-23 09:31:26,4387.394891262054,332.044930934906
56,1000,1000,5,0.0625,sig,0,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.30433278323560137,0.00012609675851792584,2025-01-23 15:27:04,2476.98627948761,1503.208825826645
17,1000,1000,5,0.125,sig,0,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2694366701703552,0.0001332305076939083,2025-01-23 12:15:57,1122.4084434509277,657.0142710208893
67,1000,1000,4,0.125,sig,0,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2701052928104969,0.0001315350218033596,2025-01-23 09:13:59,1321.1783499717712,442.4773304462433
68,1000,1000,4,0.125,log,2,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2671671254970668,0.0001266774873834633,2025-01-23 10:50:46,7858.816472530365,371.88787174224854
58,1000,1000,1,0.125,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.28655112012312034,0.00014680002425150203,2025-01-23 11:39:10,12907.147321939468,322.162798166275
55,1000,1000,2,0.125,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2709597886173586,0.00013249584540701864,2025-01-23 14:04:38,19447.41204571724,432.0979118347168
66,1000,1000,5,0.125,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2676751018474738,0.00012742635361866382,2025-01-23 18:29:45,14831.309808015823,1381.77769613266
5,1000,1000,3,0.125,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.27234887922489526,0.00013547277017695783,2025-01-23 09:30:00,2794.5909445285797,455.91902923583984
78,1000,1000,3,0.125,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2687344128387689,0.0001317623053675317,2025-01-23 11:57:16,12741.078849554062,346.55169677734375
57,1000,1000,1,0.125,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.28111208398369775,0.00013554088296030315,2025-01-23 16:08:19,27213.962255954742,503.9280917644501
54,1000,1000,2,0.125,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.2768274015163061,0.00013589683215416276,2025-01-23 09:28:03,4300.898213624954,325.134183883667
65,1000,1000,4,0.25,log,2,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20782808788935236,0.00012839764464241335,2025-01-23 10:56:56,8132.715615749359,385.03486371040344
44,1000,1000,1,0.25,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.21592023968457022,0.00013960608463394077,2025-01-23 12:19:59,14984.024094104767,359.0255174636841
25,1000,1000,1,0.25,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.21126854464712477,0.00012838694214194036,2025-01-23 15:44:20,25623.271923303604,492.1915202140808
61,1000,1000,3,0.25,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20930322998638462,0.00013254959913104725,2025-01-23 13:02:20,15154.692341566086,489.43997621536255
42,1000,1000,2,0.25,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20913594797082335,0.00012882008975574952,2025-01-23 14:06:52,19597.655742883682,434.80454874038696
19,1000,1000,3,0.25,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20912157440949514,0.00013133033258929004,2025-01-23 09:32:11,2798.706634759903,462.70663499832153
75,1000,1000,4,0.25,sig,0,71,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20813514562077978,0.0001300206678517966,2025-01-23 09:14:46,1332.3136885166168,443.79532074928284
12,1000,1000,5,0.25,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20787611221542776,0.00012962098320978716,2025-01-23 14:13:09,7957.849668264389,706.7182710170746
11,1000,1000,2,0.25,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.21117645124368137,0.00013160651564530967,2025-01-23 09:28:26,4292.470916748047,323.511531829834
62,1000,1000,5,0.25,sig,0,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.20847951810317672,0.000131870850266813,2025-01-23 13:42:15,1622.8592936992645,1020.7398791313171
76,1000,1000,1,0.3333333333333333,log,2,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.1758409444825708,0.00012092354224792722,2025-01-23 16:19:54,27909.086914777756,514.7521922588348
36,1000,1000,3,0.3333333333333333,log,2,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.1752105038944023,0.00012242842420715053,2025-01-23 11:54:06,12589.195228815079,338.24147748947144
8,1000,1000,1,0.3333333333333333,sig,0,41,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.1812383521539039,0.0001314774824355302,2025-01-23 12:02:06,13991.364422559738,356.30283427238464
50,1000,1000,3,0.3333333333333333,sig,0,61,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.1756699520978041,0.0001227803530582355,2025-01-23 08:55:44,2152.616706132889,314.37803411483765
51,1000,1000,2,0.3333333333333333,log,2,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.1754542187039812,0.00012368605988497783,2025-01-23 14:11:33,20425.441026210785,423.64746475219727
52,1000,1000,2,0.3333333333333333,sig,0,51,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.1771609276850607,0.00012401321415801177,2025-01-23 08:31:51,2373.2610037326813,190.4624936580658
9,1000,1000,5,0.3333333333333333,log,2,81,0.1,0.0,,3,3,512,1024,131072,0.1,Adam,0.0,32,1048576,tY,True,0.17507818884138032,0.00012307382250559666,2025-01-23 15:54:28,10327.838216781616,964.3627314567566
