,dscrt,N,H,space,restarts,kappa,kappa_T,sigma,constraint,initial,epochs,batch_size,learning_rate,MC_,sig_comp,res,err,time,train_time,eval_time
36,100,6,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9900061954371462,6.031308545363657e-06,2023-12-19 15:13:56,247.306823015213,761.4067180156708
60,100,3,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903075874257571,6.42345380692949e-06,2023-12-19 15:01:34,69.31230568885803,231.01756811141968
47,1000,5,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9984485465975415,7.166804744789822e-06,2023-12-19 16:17:27,1490.8350734710693,3204.4657509326935
25,100,5,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9901899435105779,6.183330029106439e-06,2023-12-19 15:04:46,148.31653547286987,399.10622549057007
26,10000,3,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0003536627234797,6.612242472054184e-06,2023-12-20 04:19:18,13210.141677856445,32661.20149588585
27,10000,1,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9989426453266399,6.001434757260477e-06,2023-12-19 21:10:19,8023.322285652161,13644.1503636837
28,1000,5,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9993957486515757,7.194572113645391e-06,2023-12-19 16:02:28,993.5915265083313,2833.4801437854767
55,1000,2,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9990586871086828,7.187447685739224e-06,2023-12-19 15:27:48,550.9468266963959,1299.3081164360046
54,10000,2,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0000467194360148,6.730154608170425e-06,2023-12-19 23:00:14,8136.857109069824,19478.56547856331
61,100,1,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9894895448793566,6.068408482132421e-06,2023-12-19 14:59:27,90.64781022071838,150.5027027130127
35,100,4,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903404864314955,6.416049814775313e-06,2023-12-19 15:02:31,92.82963943481445,322.5104811191559
37,10000,2,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9991639810527356,6.812891105807043e-06,2023-12-19 21:31:46,8518.176956176758,14354.44497537613
38,1000,6,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9993888785751974,7.0313790452482495e-06,2023-12-19 17:35:58,2703.1173050403595,6358.92058134079
39,1000,4,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9993926840948919,7.185273275331684e-06,2023-12-19 15:39:29,679.9773213863373,1776.1179497241974
52,100,6,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903572042792106,6.355491234765755e-06,2023-12-19 15:17:08,250.576593875885,1004.36470246315
43,100,5,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903521888963142,6.417931741960221e-06,2023-12-19 15:06:34,140.6995804309845,507.67039012908936
44,100,7,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9902571954566729,6.343859395213624e-06,2023-12-19 15:49:13,708.612363576889,2374.5258860588074
45,10000,1,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9989244441805513,6.187475829838017e-06,2023-12-19 20:24:12,5277.242717504501,13554.28529548645
46,10000,3,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9993840508189068,6.480630432674675e-06,2023-12-19 22:39:38,9364.484844446182,17405.93810391426
53,100,4,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9898651918572549,6.05114731863618e-06,2023-12-19 15:01:30,112.08357906341553,251.0713198184967
62,10000,5,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0002573706164808,6.31809444321081e-06,2023-12-20 07:27:12,17173.975326299667,39413.51313495636
24,100,7,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9903435389679569,6.398723679622021e-06,2023-12-19 15:27:10,364.5419588088989,1459.0012421607971
19,1000,4,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.998747273051282,6.622377589387045e-06,2023-12-19 15:40:50,921.0731437206268,1636.4226369857788
71,10000,6,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.999261145332031,6.0742045565766365e-06,2023-12-20 23:20:09,30475.10673713684,80588.45101690292
2,1000,2,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9982286251822527,6.4201253548085734e-06,2023-12-19 15:26:06,687.3100297451019,1071.9958567619324
70,10000,4,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0004361736124838,6.5955084059239974e-06,2023-12-20 03:41:40,10453.1066365242,33155.26653289795
69,100,2,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9897386777065658,5.931004689902065e-06,2023-12-19 14:58:34,65.43397164344788,127.94365048408508
5,100,1,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9894518277425434,6.34808152613038e-06,2023-12-19 14:58:39,59.66432046890259,136.4409420490265
6,100,3,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.98983309072148,6.233351044944964e-06,2023-12-19 14:59:26,71.2785542011261,170.5495960712433
7,10000,5,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0004056025732868,6.535181623885797e-06,2023-12-20 15:51:41,22382.875014305115,63373.925798654556
20,1000,6,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9994162129980351,7.187955417822304e-06,2023-12-19 17:34:45,2213.044337749481,6821.379354000092
11,1000,3,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9993508421792152,7.1454698732654075e-06,2023-12-19 15:27:02,529.7043759822845,1218.5218143463135
12,100,2,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9901769315128369,6.4923048820090575e-06,2023-12-19 14:59:35,75.96397852897644,174.42558765411377
10,1000,1,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.998059174891484,6.617384030448202e-06,2023-12-19 15:24:42,662.3419296741486,982.5712580680847
66,1000,1,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.998045259831315,6.869143029643567e-06,2023-12-19 15:21:12,460.01767110824585,1025.5488266944885
65,1000,3,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9990906957056471,6.733420803220606e-06,2023-12-19 15:22:10,600.2878570556641,950.5947048664093
15,10000,6,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0004259810270322,6.58157218013071e-06,2023-12-20 22:44:25,24058.10103392601,84552.47650742531
16,10000,4,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0002765704735683,6.222425080671281e-06,2023-12-19 23:46:27,10604.335065364838,19837.720815181732
57,10000,1,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9989336793878824,5.379008086280207e-06,2023-12-19 21:18:29,5969.507189512253,15978.470695018768
58,100,6,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.9894487167427717,5.539998877726411e-06,2023-12-19 15:13:16,255.56656455993652,777.240784406662
67,10000,3,0.7,sig,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-1.0000006604522664,5.858506816904358e-06,2023-12-20 01:54:14,11193.55094051361,26431.075037240982
68,10000,4,0.7,log,3,0.001,0.1,0.02,,1.0,1000,1024,0.1,4194304,tX,-0.999772990486492,5.646994674642283e-06,2023-12-20 03:10:15,17379.95769047737,24910.94759440422
