,dscrt,N,H,space,restarts,kappa,kappa_T,sigma,constraint,initial,epochs,batch_size,learning_rate,dscrt_train,MC_,sig_comp,max_gb,validation_size,res,err,time,train_time,eval_time
0,1000,3,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9978388335388308,1.9238082503131355e-07,2024-02-01 16:02:56,3.635122776031494,380.45334482192993
21,100,3,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9894608436959317,1.9127524609186842e-07,2024-02-01 15:57:13,3.769667625427246,45.8216769695282
19,100,7,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9894406242565443,1.914624407794893e-07,2024-02-01 16:06:15,15.060476064682007,565.6222653388977
17,100,7,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9892478554412052,2.1047074049637707e-07,2024-02-01 16:04:05,9.966630458831787,446.66519808769226
15,10000,3,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9989700651402467,6.016662337569168e-08,2024-02-01 17:44:29,2.998474597930908,6218.5768866539
13,10000,7,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9986978745614425,5.576995668588313e-08,2024-02-02 07:24:20,14.93800687789917,53609.10322070122
8,1000,7,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9978017361433753,1.913482553736716e-07,2024-02-01 17:17:02,14.93846344947815,4628.141035318375
11,10000,7,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9988821811090163,6.066604247061987e-08,2024-02-02 02:25:02,6.930675268173218,36338.85293650627
6,1000,3,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9982300981022179,2.0962736103940166e-07,2024-02-01 16:05:21,3.038757562637329,518.0754697322845
5,1000,7,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9979101542008443,2.1345722765048563e-07,2024-02-01 16:56:12,9.836336135864258,3445.7870121002197
3,10000,3,0.3333333333333333,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9988111663552887,5.491726933851516e-08,2024-02-01 17:04:41,3.6568164825439453,3915.4247813224792
23,100,3,0.3333333333333333,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9894340877574359,2.0698709659263735e-07,2024-02-01 15:57:30,3.051103353500366,63.17307090759277
9,1000,3,0.7,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9979152542557338,1.845902306708767e-07,2024-02-01 16:05:22,3.0304698944091797,518.7905166149139
10,10000,7,0.7,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9985459467100543,4.964705039628934e-08,2024-02-02 06:22:53,11.421626806259155,50026.50937581062
22,100,3,0.7,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9894638977060924,1.7085310468221323e-07,2024-02-01 15:57:12,3.6776158809661865,45.42293953895569
12,10000,3,0.7,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.998870956974134,5.56138481080597e-08,2024-02-01 17:44:45,3.056391716003418,6232.298638343811
14,10000,3,0.7,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9988524110884083,4.89129287534627e-08,2024-02-01 17:03:52,3.713467597961426,3866.07177066803
4,1000,7,0.7,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9978739261857237,1.7056261385264424e-07,2024-02-01 17:16:23,15.048220157623291,4588.700126409531
16,10000,7,0.7,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9986812688224048,5.6378188587332286e-08,2024-02-01 23:11:56,5.136272668838501,25217.78770518303
18,100,7,0.7,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.989430454468545,1.7402853439362964e-07,2024-02-01 16:06:17,15.181020259857178,567.6237661838531
2,1000,7,0.7,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9977837990017793,2.0484652029259066e-07,2024-02-01 16:56:38,9.82283067703247,3473.09126830101
20,100,3,0.7,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9893874082344409,1.869795031072778e-07,2024-02-01 15:57:30,3.0317740440368652,63.65286898612976
1,100,7,0.7,sig,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9891708190845713,1.987942032265165e-07,2024-02-01 16:04:06,10.10291600227356,448.33946418762207
7,1000,3,0.7,log,3,0.001,0.1,0.02,,1.0,51,256,0.1,100,1048576,tX,32,4096,-0.9979968939876341,1.697242958508146e-07,2024-02-01 16:02:54,3.631956100463867,378.2637584209442
