,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.1995460073571909,9.495313177446035e-07,2024-02-14 17:45:21,50.87608599662781,124.8354754447937
118,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.022772128107611,3.0428576939184526e-07,2024-02-14 17:40:22,8.773206949234009,20.12489128112793
113,1000,1000,3,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0029689968518558,2.2802764391551989e-07,2024-02-14 17:54:52,134.98541378974915,364.42189168930054
108,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.608530834215171,8.287556111180663e-07,2024-02-14 17:41:48,22.802186250686646,36.09386444091797
103,1000,1000,3,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0001208259661658,1.9921424518112883e-07,2024-02-14 18:02:10,358.0444190502167,576.0460743904114
83,1000,1000,4,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.996984143894584,2.631796090008285e-07,2024-02-14 18:09:42,418.1027705669403,761.8294947147369
74,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0802564365092402,3.566313407982585e-07,2024-02-14 17:41:50,18.192532300949097,57.49549341201782
66,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0051448160401397,4.4606903430543316e-07,2024-02-14 17:41:52,29.390857934951782,49.89593505859375
119,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0979107551848921,4.533362094485101e-07,2024-02-14 17:45:17,35.32432699203491,130.29045867919922
55,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.4981378505986043,1.064624854607944e-06,2024-02-14 17:43:03,28.805744647979736,53.57042908668518
48,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.4717839616805533,1.110608208756989e-06,2024-02-14 17:41:47,39.75286531448364,75.77190852165222
45,1000,1000,5,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0036867008792199,2.3748148388044124e-07,2024-02-14 18:11:39,261.85863280296326,729.4134089946747
41,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0851144522763598,3.679768716519552e-07,2024-02-14 17:44:07,32.762455701828,92.87424826622009
38,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0641581027370952,3.9286896164873347e-07,2024-02-14 17:40:54,20.35085368156433,43.53550577163696
15,1000,1000,4,0.25,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.003639297187805,2.393853095024656e-07,2024-02-14 18:04:00,213.4154770374298,612.6043767929077
60,1000,1000,5,0.25,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0002047122575497,2.0230206427591836e-07,2024-02-14 18:22:02,540.8400175571442,1061.3390576839447
