,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.3983463713792212,0.00292856112716043,2024-03-01 15:34:02,1693.8195083141327,30.990047693252563
43,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.39960333731460673,0.002832332161679424,2024-03-01 15:18:52,881.0024435520172,15.49721384048462
82,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.43699714056537264,0.002793783688327326,2024-03-01 15:22:29,995.2634272575378,32.844905376434326
35,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.40158825638519846,0.0028048307698116067,2024-03-01 15:18:50,872.215708732605,16.63941216468811
32,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.3024379168510033,0.0029164354204594682,2024-03-01 15:15:25,694.0160677433014,12.312355279922485
29,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4453155499786656,0.002791470097525972,2024-03-01 15:14:16,574.807893037796,20.921794414520264
26,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.29921828881265666,0.003047383094848542,2024-03-01 15:06:12,154.6733362674713,10.500057697296143
75,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0065225772983702746,0.002476385069573629,2024-03-01 15:11:24,478.324471950531,8.169582843780518
10,100,100,7,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.39399506214797075,0.0026990459017748256,2024-03-01 17:02:45,6216.235811471939,159.8239140510559
48,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4445344262358111,0.0028000509279608224,2024-03-01 15:10:24,382.22440361976624,14.225410223007202
81,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.008285928836959482,0.0024594299675585415,2024-03-01 15:03:50,43.63622546195984,5.156937122344971
3,100,100,7,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4432238897235715,0.00273887172620937,2024-03-01 16:14:53,3594.388016462326,117.96768283843994
7,100,100,6,0.25,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.4426306432005394,0.002778533517423426,2024-03-01 15:35:16,1633.7653391361237,53.070636510849
1,100,100,6,0.25,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.3753550316028832,0.002897991977866322,2024-03-01 15:56:26,2866.2218680381775,58.93802785873413
30,100,100,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.12832951120991987,0.002553715558527377,2024-03-01 15:19:04,886.767523765564,16.534425497055054
27,100,100,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.162640054986052,0.0025787350410975806,2024-03-01 15:10:21,379.87583589553833,14.302624702453613
6,100,100,7,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.15342280000739686,0.002614834102093826,2024-03-01 16:03:10,3004.958533525467,98.69503569602966
25,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11623180631544233,0.0025946718067633486,2024-03-01 15:15:35,703.472012758255,12.464163541793823
22,100,100,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.11983744483121861,0.0026204728657088804,2024-03-01 15:05:58,145.93462800979614,9.51313829421997
68,100,100,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,16384,262144,1,32,262144,tX,-0.0020469914710126735,0.002413300522645463,2024-03-01 15:03:46,39.80827736854553,5.256198883056641
