,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,optim,learning_rate,history_size,line_search_fn,tolerance_change,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.39830610514228265,0.0029182365727244888,2024-03-04 23:45:29,13631.089848279953,29.851194858551025
43,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.41809138509462623,0.0028739031959997704,2024-03-04 19:34:23,9823.511825561523,18.815009355545044
82,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.444904162359538,0.0028563538788193986,2024-03-04 22:36:02,7524.325996398926,31.002564191818237
35,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4039950887485041,0.0028119342541257845,2024-03-04 20:26:55,9523.84350824356,16.13006591796875
32,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.30981945317278925,0.0029504645398540966,2024-03-04 17:12:26,7540.162024736404,12.519755601882935
29,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4415393250461207,0.002835703660602907,2024-03-04 19:14:06,4835.853533506393,21.028254985809326
26,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.29983973744722303,0.0029917725108315352,2024-03-04 15:27:19,1254.448578596115,9.49091100692749
75,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0038874706243367343,0.002474170696483899,2024-03-04 16:56:51,7259.509941101074,11.189972877502441
10,100,100,7,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4218205857924573,0.0028289526354088527,2024-03-05 18:16:53,58369.38774013519,165.79496836662292
48,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4443387717735409,0.002826334897410976,2024-03-04 17:46:29,2896.5413525104523,13.165704488754272
81,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0035136988133326504,0.0024547329698999124,2024-03-04 15:04:43,557.9949188232422,6.99396538734436
3,100,100,7,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.44152243171572775,0.0028610283106028835,2024-03-05 09:21:56,24627.58731675148,95.9552001953125
7,100,100,6,0.25,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4393848202291295,0.0028480633720418015,2024-03-05 02:46:40,12979.8670566082,52.18638777732849
1,100,100,6,0.25,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4075534819867166,0.0028356876874624667,2024-03-05 05:18:40,22308.08511710167,53.8863468170166
30,100,100,4,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.15139345505256105,0.0025722289598562207,2024-03-04 20:42:33,9973.362704277039,17.554835319519043
27,100,100,3,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.1594381183650778,0.0025663840687535993,2024-03-04 17:54:01,3207.840518474579,15.73525333404541
6,100,100,7,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.16537677354581695,0.0025735045638850796,2024-03-05 10:25:22,25778.202062129974,100.6633186340332
25,100,100,2,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.12422747148069384,0.0026056218862263087,2024-03-04 17:12:14,7466.362987518311,12.680736780166626
22,100,100,2,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.12136333128477167,0.0026296666345307163,2024-03-04 15:28:26,1136.34627699852,9.42513394355774
68,100,100,1,0.3333333333333333,sig,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.0019770860165158055,0.0023782657688897605,2024-03-04 15:06:26,659.8265590667725,7.210406303405762
8,100,100,6,0.3333333333333333,log,0.001,0.1,0.02,1.0,,2,21,131072,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.1440579251637022,0.0025455313162638746,2024-03-05 05:30:26,22750.917541742325,55.909323930740356
