,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,history_size,line_search_fn,tolerance_change,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,5,0.25,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.30276969275743326,0.0028462013057304718,2024-03-11 21:58:41,1092.822353363037,29.22536563873291
43,100,100,3,0.25,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.30606465575489106,0.0030148846037692536,2024-03-11 20:00:37,627.1871910095215,14.720220565795898
82,100,100,5,0.25,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.43057098105958586,0.0030018802093515796,2024-03-11 22:02:09,688.8739869594574,30.049828052520752
35,100,100,4,0.25,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.2926819702292357,0.0031369488645331648,2024-03-11 20:51:38,669.2108674049377,15.977787017822266
32,100,100,2,0.25,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.2937947029501194,0.0029798195093531533,2024-03-11 19:18:22,527.9546217918396,12.279829978942871
29,100,100,4,0.25,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.42242744585729963,0.0029525714334413694,2024-03-11 20:49:14,418.1019997596741,19.83580231666565
26,100,100,2,0.25,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.2994972974559318,0.002995507163732619,2024-03-11 19:12:24,151.72902464866638,9.253140211105347
75,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.013621381577437237,0.00247517665069868,2024-03-11 18:40:38,712.481987953186,17.86397099494934
10,100,100,7,0.25,log,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.29271958445275237,0.002909046893538994,2024-03-12 01:41:10,4908.072434425354,151.10759854316711
48,100,100,3,0.25,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.44573513976746787,0.002833521728130704,2024-03-11 20:00:17,456.5066673755646,21.049335956573486
81,100,100,1,0.25,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.008417571084063378,0.0024697873236765883,2024-03-11 18:45:43,130.58343315124512,11.78374195098877
3,100,100,7,0.25,sig,0.001,0.1,0.02,1.0,,5,3,21,16384,262144,LBFGS,1,20,strong_wolfe,0.0,128,262144,tX,-0.4138356848379995,0.002766331266413776,2024-03-12 00:48:31,2240.3641455173492,94.82344555854797
