,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,steps_per_restart,epochs,batch_size,validation_size,optim,learning_rate,optim_history_size,optim_line_search_fn,optim_tolerance_change,optim_max_iter,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
0,100,100,6,0.25,log,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.3666365475613617,0.002958440193829348,2024-03-13 15:37:17,55098.68162679672,55.9129204750061
42,100,100,3,0.25,sig,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-44.37898206831,0.14287501084282,2024-03-15 20:53:23,3418.8380064964294,14.51332426071167
65,100,100,1,0.25,sig,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-0.7078012837409886,0.025423489166527726,2024-03-15 03:42:43,271.28354692459106,7.757205247879028
29,100,100,4,0.25,log,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-37.98428768682611,0.1406083282435491,2024-03-16 03:03:14,11428.776663541794,16.276386260986328
26,100,100,2,0.25,log,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-30.420325701474464,0.16183886505663364,2024-03-15 17:06:41,9498.449242591858,12.994428396224976
23,100,100,4,0.25,sig,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-44.72418447862239,0.14215426575244722,2024-03-16 01:27:09,5242.719766378403,21.20400834083557
20,100,100,2,0.25,sig,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-29.815826970438206,0.17361447624707338,2024-03-15 16:33:06,864.1152279376984,9.923180341720581
37,100,100,3,0.25,log,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-35.70118342125603,0.15233202881243463,2024-03-15 22:54:59,10704.653188467026,15.10619854927063
61,100,100,1,0.25,log,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-1.119903187988689,0.027527907899828206,2024-03-15 03:36:00,8957.33662724495,12.65889573097229
1,100,100,7,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.4449214131262158,0.0028189045124635114,2024-03-13 20:57:25,51550.620399951935,97.15493154525757
4,100,100,6,0.25,sig,0.001,0.1,0.02,1.0,,10,1,2,131072,262144,LBFGS,1,20,strong_wolfe,0.0,100,128,262144,tX,-0.43814262543226246,0.002790692264534278,2024-03-13 08:15:37,28199.95490884781,53.088643074035645
57,100,100,1,0.3333333333333333,sig,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-0.2754619689968969,0.02348657542956596,2024-03-15 06:22:55,308.8568341732025,7.67322850227356
21,100,100,3,0.3333333333333333,sig,0.001,0.1,0.2,1.0,,5,1,2,131072,262144,LBFGS,1,40,strong_wolfe,0.0,100,128,262144,tX,-16.062865901969943,0.09724411168583466,2024-03-15 21:30:30,3455.8371596336365,14.710265398025513
