,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
2,1000,1000,1,0.25,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990033316963033,1.9342139377175236e-07,2024-02-14 16:54:03,0.2856259346008301,101.52228093147278
6,100,100,1,0.25,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990026230488614,1.927914515417744e-07,2024-02-14 16:52:35,0.032187461853027344,13.016779661178589
9,10000,10000,1,0.25,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990135911140715,5.58721152564715e-08,2024-02-14 17:27:34,4.261043548583984,2086.8175888061523
12,10000,10000,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9989944787809499,5.4192851337321974e-08,2024-02-14 17:27:52,4.211303472518921,2103.339738368988
4,100,100,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.998999638162105,1.869048158340884e-07,2024-02-14 16:52:39,0.04051685333251953,19.14292073249817
15,1000,1000,1,0.3333333333333333,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990148633864812,1.873783940046168e-07,2024-02-14 16:53:59,0.28633809089660645,98.76917815208435
16,1000,1000,1,0.5,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990177004389872,1.7715484760652665e-07,2024-02-14 16:54:57,0.3822622299194336,155.97018456459045
5,100,100,1,0.5,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990157092313923,1.7643789400819612e-07,2024-02-14 16:52:39,0.04074811935424805,19.22209858894348
14,10000,10000,1,0.7,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990123947091644,4.816961514114564e-08,2024-02-14 17:19:31,3.1038942337036133,1360.0674831867218
11,1000,1000,1,0.7,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990329918662029,1.6685857799011473e-07,2024-02-14 16:55:01,0.37763214111328125,159.45876264572144
0,100,100,1,0.7,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990075736046857,1.665093237534444e-07,2024-02-14 16:52:33,0.032148122787475586,13.032326936721802
13,10000,10000,1,0.9,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990228654854942,4.56220296734658e-08,2024-02-14 17:31:46,4.2399256229400635,2088.972597837448
1,100,100,1,0.9,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990041100162623,1.5782283038933246e-07,2024-02-14 16:52:36,0.030502796173095703,12.597856283187866
10,1000,1000,1,0.9,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990156592049801,1.581485827183642e-07,2024-02-14 16:54:57,0.3789482116699219,155.99920892715454
7,10000,10000,1,1.0,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990191560708314,4.449153745075657e-08,2024-02-14 17:14:26,4.331530332565308,1001.40713763237
3,100,100,1,1.0,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990116616252335,1.5414504587138283e-07,2024-02-14 16:52:24,0.030503034591674805,4.476279973983765
8,1000,1000,1,1.0,log,0.001,0.1,0.02,1.0,,3,1,1,4096,0.1,32,1048576,tX,-0.9990185061934266,1.5407260217887588e-07,2024-02-14 16:53:28,0.37705564498901367,68.14692568778992
